Designator,Footprint,Quantity,Value,Part Numbers,Total Quantity,Supplier
"C1, C10, C11, C12, C2, C3, C4, C5, C6, C7, C8",805,11,0.1uF,KGM21NR71H104KT,330,Digikey
"C13, C14, C9",805,3,10uF,CL21A106KOQNNNE,90,Digikey
"C15, C16",805,2,1.0uF,CL21B105KBFNNNE,60,Digikey
"D1, D2, D3, D4, D5, D6, D7, D8",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,8,WS2812B,,,Digikey
D10,805,1,RED,LS R976-NR-1-0-20-R18,30,Digikey
D9,805,1,GREEN,LG R971-KN-1-0-20-R18,30,Digikey
"J1, J2, J3, J4",SolderWire-1sqmm_1x01_D1.4mm_OD3.9mm,4,Conn_01x01_Pin,ED9009-ND,5,Digikey
J5,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,USB4135-GF-A,30,Digikey
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,PRPC040SACN-RC,30,Digikey
P1,JST_S2B-ZR-SM4A-TF,1,S2B-ZR-SM4A-TF,S2B-ZR-SM4A-TF,30,Digikey
Q2,SOT-23,1,AO3400A,AO3400A,30,Digikey
"R1, R8",805,2,1K,RR1220P-102-D,60,Digikey
"R10, R11, R12",805,3,1M,RG2012P-105-B-T5,90,Digikey
R100,805,1,100,ERA-6AEB101V,30,Digikey
R13,805,1,500,CRGCQ0805J470R,30,Digikey
"R2, R3, R4",805,3,10k,CRCW080510K0FKEA,90,Digikey
"R5, R6",805,2,5k1,RC0805JR-075K1L,60,Digikey
R7,805,1,2k,ERA-6AEB202V,30,Digikey
R9,805,1,100k,RC0805FR-07100KL,30,Digikey
SW1,SW_PUSH_6mm,1,EN,Y97HT21A1EAFP,30,Digikey
SW2,SW_PUSH_6mm,1,I09,Y97HT21A1EAFP,30,Digikey
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02-N4,30,Digikey
U3,SOT-23-5,1,AP2112K-3.3,AP2112K-3.3TRG1,30,Digikey
U4,SOT-23-5,1,MCP73831-2-OT,579-MCP73831T-2ACIOT,30,Mouser
