Qty,Part Number,Reference,Description
330,KGM21NR71H104KT,C1 C10 C11 C12 C2 C3 C4 C5 C6 C7 C8,0.1uF capacitor 0805
90,CL21A106KOQNNNE,C13 C14 C9,10uF capacitor 0805
60,CL21B105KBFNNNE,C15 C16,1.0uF capacitor 0805
30,LS R976-NR-1-0-20-R18,D10,Red LED 0805
30,LG R971-KN-1-0-20-R18,D9,Green LED 0805
120,ED9009-ND,J1 J2 J3 J4,Wire Solder Pin 1x01
30,USB4135-GF-A,J5,USB-C Power-Only Receptacle
5,PRPC040SACN-RC,J6,1x04 Pin Header Vertical 2.54mm
30,S2B-ZR-SM4A-TF,P1,JST S2B-ZR-SM4A-TF connector
30,AO3400A,Q2,AO3400A MOSFET SOT-23
60,RR1220P-102-D,R1 R8,1K resistor 0805
90,RG2012P-105-B-T5,R10 R11 R12,1M resistor 0805
30,ERA-6AEB101V,R100,100 ohm resistor 0805
30,CRGCQ0805J470R,R13,500 ohm resistor 0805
90,CRCW080510K0FKEA,R2 R3 R4,10K resistor 0805
60,RC0805JR-075K1L,R5 R6,5.1K resistor 0805
30,ERA-6AEB202V,R7,2K resistor 0805
30,RC0805FR-07100KL,R9,100K resistor 0805
30,Y97HT21A1EAFP,SW1,Pushbutton 6mm
30,Y97HT21A1EAFP,SW2,Pushbutton 6mm
30,ESP32-C3-WROOM-02-N4,U1,ESP32-C3-WROOM-02 module
30,AP2112K-3.3TRG1,U3,3.3V LDO regulator SOT-23-5
