Designator,Mid X,Mid Y,Rotation,Layer
C1,121.25,-60.75,0.0,top
C10,80.7125,-60.25,0.0,top
C11,86.4625,-85.5,0.0,top
C12,97.9625,-85.5,0.0,top
C13,93.98,-101.26,90.0,top
C14,87.02,-101.81,90.0,top
C15,106.1,-91.64,270.0,top
C16,96.51,-90.58,180.0,top
C2,133.0,-87.75,0.0,top
C3,112.0,-87.75,0.0,top
C4,121.25,-104.25,0.0,top
C5,68.75,-104.25,0.0,top
C6,78.0,-87.75,0.0,top
C7,57.0,-87.75,0.0,top
C8,68.75,-60.75,0.0,top
C9,80.7125,-63.75,0.0,top
D1,121.27,-55.94,0.0,top
D10,91.8225,-95.4125,0.0,top
D2,112.0,-82.5,0.0,top
D3,133.0,-82.5,0.0,top
D4,121.25,-109.5,0.0,top
D5,68.75,-109.5,0.0,top
D6,78.0,-82.5,0.0,top
D7,57.0,-82.5,0.0,top
D8,68.75,-55.5,0.0,top
D9,84.395,-94.55,0.0,top
J5,95.25,-113.0,0.0,top
J6,109.0,-63.81,0.0,top
P1,54.875,-82.5,90.0,bottom
Q2,59.0,-68.1275,180.0,top
R1,84.42,-91.05,0.0,top
R10,118.91,-64.23,180.0,top
R100,58.5,-65.05,180.0,top
R11,118.88,-66.42,0.0,top
R12,118.87,-68.54,180.0,top
R13,114.56,-53.2,180.0,top
R2,92.0,-85.5,0.0,top
R3,103.5,-85.5,0.0,top
R4,80.75,-67.25,0.0,top
R5,100.0,-106.5,180.0,top
R6,90.5,-106.5,0.0,top
R7,91.81,-97.5825,180.0,top
R8,88.73,-96.6925,270.0,top
R9,55.43,-67.95,90.0,top
SW1,89.25,-78.25,0.0,top
SW2,100.75,-78.25,0.0,top
U1,95.0,-63.5,0.0,top
U3,101.0775,-91.28,0.0,top
U4,90.585,-100.5525,180.0,top
